Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells
ZNF814	human	0	0.940140056	0.387	0.004	TRIM59	human	0	0.95451378	0.614	0.134	WIPF3	human	4.94E-09	1.434685085	0.638	0	EIF3F	human	0	0.974003504	0.504	0.014	NBPF14	human	0	0.87221639	0.448	0	PHF10	chimp	0	0.571353402	0.273	0.52	SLC38A2	chimp	0	0.449409028	0.665	0.934	LGR4	chimp	8.58E-10	0.892749849	0.062	0.458	UPK3BL	chimp	0	0.618005293	0.012	0.432	SOX1	chimp	4.43E-06	0.913377374	0.107	0.354
FAM110B	human	0	0.937154949	0.65	0.172	NBPF11	human	0	0.941668364	0.713	0	SUMO2P1	human	4.94E-09	0.262077244	0.638	0	CRLF3	human	0	0.973183445	0.68	0.08	TUBB2B	human	0	0.826073485	0.961	0.35	RP11-113K21.4	chimp	0	0.568597584	0.024	0.254	BCAS4	chimp	0	0.418910925	0.185	0.692	RP11-475C16.1	chimp	1.36E-09	0.430310757	0.488	0.783	CDV3	chimp	0	0.602197498	0.49	0.833	BRD2	chimp	5.26E-06	0.533578925	0.69	0.615
GPIHBP1	human	0	0.936890094	0.429	0.002	HNRNPCP2	human	0	0.938222006	0.726	0	KMT2C	human	5.42E-09	0.739153296	0.855	0.522	ZNF814	human	0	0.972759661	0.44	0.009	RPS13P2	human	0	0.768832575	0.477	0	PFAS	chimp	0	0.566976749	0.16	0.556	XRCC6P2	chimp	0	0.40696531	0.139	0.422	PURB	chimp	1.36E-09	0.863570392	0.112	0.5	MAPRE1P1	chimp	0	0.597035229	0.004	0.316	RP11-475C16.1	chimp	5.74E-06	0.485357687	0.44	0.585
MIDN	human	0	0.931823312	0.591	0.058	ANKRD40	human	0	0.938212969	0.657	0.098	TMEM33	human	7.06E-09	1.51446832	0.724	0.043	NUP50	human	0	0.971422763	0.494	0.061	PTPRS	human	0	0.746434048	0.989	0.612	KIAA1211	chimp	0	0.566509991	0.139	0.45	SNORD13	chimp	0	0.402703877	0	0.389	ATP1B2	chimp	1.41E-09	0.73847213	0.262	0.667	TERF2	chimp	0	0.583466364	0.375	0.722	BMPR2	chimp	8.17E-06	0.638468682	0.464	0.738
RP11-69L16.5	human	0	0.923090899	0.709	0.004	ANKRD10	human	0	0.934248009	0.871	0.402	SCD	human	8.32E-09	0.895982238	0.566	0.087	RANBP2	human	0	0.970284537	0.602	0.061	CHCHD3	human	0	0.738511316	0.574	0.112	SPTSSA	chimp	0	0.565755619	0.07	0.299	BZW1	chimp	0	0.397726847	0.746	0.972	RDH10	chimp	1.92E-09	0.662173697	0.038	0.35	BRD2	chimp	0	0.570612773	0.618	0.786	KIF5C	chimp	1.10E-05	0.362957211	0.571	0.523
NBPF1	human	0	0.9166409	0.506	0.011	HNRNPA1L2	human	0	0.928055133	0.785	0	KIF5A	human	9.23E-09	0.53581874	0.816	0.261	KIAA1456	human	0	0.967658776	0.439	0.033	RP1-182O16.1	human	0	0.688976463	0.489	0	CCDC117	chimp	0	0.564509816	0.022	0.332	USMG5P1	chimp	0	0.39397375	0.012	0.412	AL133243.2	chimp	2.01E-09	0.820781834	0.15	0.592	KPNA4	chimp	0	0.564968163	0.446	0.795	RPL41	chimp	1.25E-05	0.253741919	0.952	0.892
PTEN	human	0	0.914105594	0.768	0.316	PIAS2	human	0	0.926317581	0.465	0	TSPYL1	human	1.21E-08	0.728026034	0.875	0.348	GOLGA8B	human	0	0.961179237	0.502	0	RP11-175B9.3	human	0	0.688536695	0.483	0	PSPHP1	chimp	0	0.561532329	0.118	0.429	RPL7P26	chimp	0	0.388875728	0.052	0.63	USMG5P1	chimp	2.24E-09	0.42550957	0.025	0.358	RP11-62C3.6	chimp	0	0.557479422	0.008	0.308	CH17-258A22.4	chimp	1.93E-05	0.550262892	0.083	0.262
GAN	human	0	0.910416113	0.359	0.025	CBWD1	human	0	0.926025575	0.605	0.024	PCMTD1	human	1.37E-08	0.818093508	0.658	0.087	RPL24P4	human	0	0.950343906	0.746	0	CALM2P2	human	0	0.631727376	0.461	0	RIT1	chimp	0	0.558397959	0.278	0.61	LINC00301	chimp	0	0.385395359	0	0.365	TTC3P1	chimp	2.41E-09	0.398403041	0.338	0.742	RP11-658F2.8	chimp	0	0.545862579	0.426	0.658	SVIL	chimp	1.94E-05	0.699813777	0.083	0.354
RP11-110G21.2	human	0	0.907551783	0.331	0.002	CBWD5	human	0	0.924587897	0.601	0.037	DAAM1	human	1.71E-08	0.726358344	0.849	0.304	ATF4	human	0	0.945287231	0.438	0.005	SRSF6	human	0	0.59261224	0.934	0.725	RP11-62C3.6	chimp	0	0.558174904	0.007	0.29	RP11-283C24.1	chimp	0	0.379712082	0.006	0.408	ZC3H6	chimp	3.24E-09	0.726308723	0.162	0.525	SPAST	chimp	0	0.543529949	0.454	0.765	SUB1	chimp	2.20E-05	0.552979981	0.583	0.862
TUBB2B	human	0	0.90690848	0.928	0.297	PTEN	human	0	0.911258027	0.813	0.354	MLLT4	human	1.84E-08	0.802450696	0.875	0.261	PDE4DIP	human	0	0.942431413	0.456	0	ACTG1	human	0	0.508963823	0.984	0.662	SLC35D1	chimp	0	0.555640106	0.182	0.514	CALM2P3	chimp	0	0.368397571	0.214	0.635	TRAK2	chimp	3.94E-09	0.723015598	0.15	0.575	GSTT2	chimp	0	0.535104944	0.004	0.299	SNHG16	chimp	2.31E-05	0.772605538	0.19	0.569
TTTY15	human	0	0.90422145	0.305	0	RBM6	human	0	0.908823259	0.918	0.366	FAM213A	human	1.95E-08	0.94090703	0.434	0.087	PTEN	human	0	0.934614686	0.824	0.291	HNRNPCP2	human	1.11E-16	0.920307338	0.406	0	BRD2	chimp	0	0.552991218	0.679	0.8	PSAT1P3	chimp	0	0.352901998	0.046	0.408	PLA2G4B	chimp	4.11E-09	0.525145416	0	0.3	PREP	chimp	0	0.529556275	0.12	0.581	RPS13P2	chimp	2.41E-05	0.520533735	0.5	0.677
ATF4	human	0	0.904105952	0.428	0.014	ZNF814	human	0	0.901637277	0.449	0	ZNF43	human	2.55E-08	1.33883607	0.605	0	CBWD5	human	0	0.932942925	0.513	0.005	RPS20P14	human	1.11E-16	0.63874178	0.403	0	RP11-658F2.8	chimp	0	0.551347747	0.379	0.658	TUBB	chimp	0	0.326186677	0.855	0.872	RP11-113K21.4	chimp	5.35E-09	0.743941626	0.038	0.4	RP11-475C16.1	chimp	0	0.528008857	0.375	0.714	LSM12	chimp	3.26E-05	0.283632413	0.56	0.569
EIF4EBP2	human	0	0.903763929	0.605	0.128	SKIL	human	0	0.891231569	0.815	0.305	UBE2O	human	3.42E-08	0.53544142	0.263	0.13	CBR4	human	0	0.928595365	0.391	0.033	RGPD5	human	2.22E-16	0.808455119	0.399	0	UBE3B	chimp	0	0.549740331	0.24	0.575	RPL7P13	chimp	0	0.283840118	0.006	0.455	NDUFA3	chimp	6.63E-09	0.344177786	0.575	0.533	TTC3P1	chimp	0	0.503695315	0.458	0.799	MAT2A	chimp	3.44E-05	0.677352093	0.202	0.431
CRLF3	human	0	0.89957966	0.592	0.086	SMG1P1	human	0	0.880388261	0.57	0.012	SLCO5A1	human	4.00E-08	0.859849103	0.349	0.087	POLR2J3	human	0	0.921946973	0.585	0	RPL5P23	human	5.55E-16	0.679861156	0.391	0	RNU2-2P	chimp	0	0.547436554	0	0.332	HMGN2P25	chimp	0	0.275766828	0	0.341	RP5-968D22.1	chimp	7.89E-09	0.729073181	0	0.292	RNU2-2P	chimp	0	0.502500686	0	0.286	AC011933.2	chimp	3.57E-05	0.295541038	0.036	0.308
CBWD2	human	0	0.898510661	0.447	0	HSPD1P1	human	0	0.878042785	0.71	0	CHCHD3	human	4.33E-08	0.54833845	0.796	0.261	EIF4EBP2	human	0	0.916727543	0.638	0.108	AC004057.1	human	2.00E-15	0.745452155	0.422	0.012	MOB1A	chimp	0	0.546472504	0.379	0.703	SUMO2P1	chimp	0	0.256194575	0.538	0.498	GSTT2B	chimp	7.89E-09	0.54137698	0	0.292	BMPR2	chimp	0	0.498234	0.586	0.885	CNOT6	chimp	6.82E-05	0.657316011	0.31	0.508
RP11-488L18.10	human	0	0.896839127	0.357	0.037	RP11-69L16.5	human	0	0.877250961	0.778	0	SFXN1	human	4.76E-08	1.197058552	0.592	0	RP11-110G21.2	human	0	0.914114099	0.381	0.005	SRGAP2C	human	2.44E-15	1.029429929	0.378	0	GSTT2	chimp	0	0.541822773	0.007	0.291	EEF1A1P16	chimp	0	0.251320572	0.058	0.422	HELZ	chimp	7.94E-09	0.530488352	0.488	0.833	AC079780.3	chimp	0	0.486528816	0.068	0.551	XRCC6P2	chimp	7.50E-05	0.49798231	0.071	0.262
LINC00969	human	0	0.891685594	0.43	0.033	ATP1B2	human	0	0.876906709	0.745	0.244	NBPF12	human	4.76E-08	1.074836276	0.592	0	RP11-16E23.4	human	0	0.911226196	0.312	0.005	PTBP2	human	8.55E-15	0.677014974	0.758	0.462	RP11-34P13.13	chimp	0	0.539999332	0.077	0.362	RP11-464F9.1	chimp	2.22E-16	0.32506537	0	0.27	UGDH	chimp	1.03E-08	0.714240801	0.2	0.642	RPS13P2	chimp	0	0.48558679	0.582	0.855	MAP4K4	chimp	9.81E-05	0.285245542	0.702	0.754
SKP1P1	human	0	0.889115806	0.659	0	NBPF1	human	0	0.86816122	0.643	0.012	INSR	human	6.87E-08	0.954508674	0.789	0.304	CBWD2	human	0	0.911064604	0.49	0	AC253572.1	human	1.13E-14	0.826071309	0.405	0.012	RP11-475C16.1	chimp	0	0.537522878	0.436	0.755	CNOT6	chimp	3.33E-16	0.655418859	0.301	0.687	XRCC6P2	chimp	1.26E-08	0.392938808	0.062	0.342	JAKMIP2	chimp	0	0.452081254	0.622	0.859	MRPS21	chimp	0.000100448	0.695984654	0.357	0.662
RBM6	human	0	0.885352399	0.877	0.332	ETNK1	human	0	0.866293233	0.869	0.366	TRIO	human	1.03E-07	0.737352672	0.763	0.174	HERC2P2	human	0	0.909259776	0.492	0	LINC00969	human	1.53E-14	1.159852954	0.407	0.012	RP11-345P4.9	chimp	0	0.536081144	0.057	0.257	LARP1	chimp	5.55E-16	0.374446624	0.653	0.938	MOB1A	chimp	1.32E-08	0.66695698	0.362	0.742	GNAQ	chimp	0	0.445618831	0.649	0.855	KIAA1211	chimp	0.000120941	0.795249817	0.262	0.569
NBPF14	human	0	0.885250577	0.572	0	MIDN	human	0	0.860631946	0.594	0.024	IMPDH2	human	1.03E-07	0.755115486	0.276	0.087	MUM1	human	0	0.907572496	0.62	0.113	PTEN	human	1.91E-14	0.957324974	0.647	0.3	USMG5P1	chimp	0	0.535695028	0.017	0.476	SPNS2	chimp	7.77E-16	0.343056018	0	0.261	C6orf48	chimp	1.42E-08	0.48970797	0.412	0.55	BCAS4	chimp	0	0.443229401	0.175	0.756	JAKMIP2	chimp	0.000126782	0.461697911	0.595	0.754
ELMSAN1	human	0	0.885053661	0.476	0.12	RPL24P4	human	0	0.851914202	0.743	0	STRN3	human	1.05E-07	0.771861566	0.822	0.217	BROX	human	0	0.900031425	0.492	0.085	VAPA	human	2.16E-14	1.200957072	0.359	0	RP11-463C14.1	chimp	0	0.530170441	0.014	0.488	ARPP19	chimp	2.78E-15	0.493100789	0.595	0.882	RP11-174G6.5	chimp	1.47E-08	0.717671169	0.025	0.317	CALM2P3	chimp	0	0.438019533	0.299	0.722	ATAT1	chimp	0.000136238	0.378356687	0.536	0.462
RPL14P1	human	0	0.884801348	0.652	0	TUBB2B	human	0	0.847099355	0.928	0.354	UGGT1	human	1.18E-07	0.788586888	0.329	0.087	ZNF738	human	0	0.898613681	0.51	0.038	PIAS2	human	2.52E-14	1.122543827	0.358	0	SPAST	chimp	0	0.529991647	0.357	0.647	SNHG8	chimp	3.00E-15	0.546658908	0.22	0.635	RP11-697E2.6	chimp	1.50E-08	0.629161526	0	0.283	XRCC6P2	chimp	0	0.432704562	0.064	0.372	PBX1	chimp	0.000146797	0.426480096	0.726	0.831
CBWD5	human	0	0.880036829	0.457	0.018	RPL14P1	human	0	0.845958766	0.726	0	EXOC5	human	1.21E-07	0.965029262	0.414	0.087	HNRNPA1L2	human	0	0.896792978	0.744	0.009	CRB1	human	3.52E-14	1.328407948	0.367	0.012	RRAGD	chimp	0	0.527150991	0.274	0.524	GSTT2B	chimp	6.55E-15	0.38131456	0.006	0.28	TNIK	chimp	1.63E-08	0.872121889	0.112	0.492	RP11-464F9.1	chimp	0	0.425250622	0.004	0.265	PHF10	chimp	0.000225856	0.800441302	0.119	0.277
RP11-543P15.1	human	0	0.879784467	0.773	0	PCBP1-AS1	human	0	0.844630213	0.413	0	ETNK1	human	1.23E-07	0.878670902	0.868	0.391	FAM171B	human	0	0.895592631	0.873	0.347	CALM2P3	human	5.38E-14	0.478185689	0.351	0	ZNF8	chimp	0	0.524831577	0.202	0.539	PURB	chimp	7.66E-15	0.663563824	0.237	0.573	ZNF8	chimp	1.88E-08	0.634772453	0.212	0.65	LARP1	chimp	0	0.388220725	0.657	0.953	CH17-472G23.4	chimp	0.000225998	0.685525466	0.167	0.277
HNRNPCP2	human	0	0.875125301	0.575	0	DDAH1	human	0	0.843154444	0.802	0.427	ACACA	human	1.42E-07	0.657448041	0.487	0.087	GAN	human	0	0.895022725	0.362	0.014	FAM110B	human	6.68E-14	1.085658431	0.548	0.112	UPK3BL	chimp	0	0.522668534	0.005	0.378	RP11-34P13.13	chimp	1.38E-14	0.524126929	0.075	0.403	RP11-34P13.13	chimp	2.07E-08	0.502333022	0.062	0.3	RP11-143M1.3	chimp	0	0.356102521	0.004	0.274	KC6	chimp	0.000250971	0.869922021	0.143	0.431
WIPF3	human	0	0.862727268	0.47	0.067	H3F3C	human	0	0.837142013	0.785	0	DST	human	1.70E-07	0.784585157	0.743	0.217	TUBB2B	human	0	0.893783622	0.975	0.291	SMG1P1	human	1.00E-13	0.956970109	0.391	0.012	EPB41L1	chimp	0	0.519006307	0.235	0.459	RP11-15J10.1	chimp	2.33E-14	0.590020958	0.277	0.64	PCDHGC3	chimp	2.51E-08	0.677337206	0.075	0.458	TUBB	chimp	0	0.353910098	0.968	0.996	MEGF9	chimp	0.000255793	0.629113452	0.238	0.354
RP11-16E23.4	human	0	0.8602841	0.267	0.002	SKP1P1	human	0	0.823279615	0.743	0	GTF2I	human	2.49E-07	0.480443026	0.796	0.261	B3GALT1	human	0	0.89339225	0.457	0.075	RP11-475C16.1	human	1.78E-13	0.449524456	0.34	0	TERF2	chimp	0	0.515976447	0.324	0.628	RPS13P2	chimp	3.99E-14	0.384030922	0.653	0.863	RPS9	chimp	2.69E-08	0.557812978	0.325	0.542	SLC38A2	chimp	0	0.348135331	0.709	0.97	BCL11B	chimp	0.000270115	0.496543254	0.726	0.892
THAP5	human	0	0.852166525	0.448	0.1	HERC2P2	human	0	0.810378363	0.502	0	NKIRAS2	human	2.53E-07	0.686815132	0.289	0.087	SLC29A4	human	0	0.892892071	0.545	0.047	TRIM36-IT1	human	2.07E-13	1.344703939	0.339	0	KPNA4	chimp	0	0.51079273	0.431	0.743	SPTSSA	chimp	5.64E-14	0.679911022	0.145	0.498	RIT1	chimp	4.05E-08	0.602251633	0.275	0.542	AC159540.3	chimp	0	0.338887897	0.004	0.329	RP11-262M14.2	chimp	0.000290819	0.50138726	0.036	0.277
NBPF11	human	0	0.851903075	0.506	0	POLR2J3	human	0	0.808696028	0.622	0	RPS13P2	human	2.80E-07	0.607668062	0.553	0	RP11-499P20.2	human	0	0.889765736	0.362	0.005	DYNC1I2P1	human	2.28E-13	0.859200753	0.41	0.038	DSTNP1	chimp	0	0.497327905	0.053	0.381	RP11-677N16.1	chimp	7.05E-14	0.295622132	0.064	0.37	BCAS4	chimp	4.17E-08	0.306514563	0.188	0.592	BZW1	chimp	0	0.335490827	0.805	0.974	UBXN4	chimp	0.000336527	0.351533961	0.464	0.554
RAD52	human	0	0.850567746	0.391	0.04	EIF4EP2	human	0	0.799142596	0.444	0	CC2D2A	human	2.93E-07	0.306458811	0.368	0.087	SKP1P1	human	0	0.88924809	0.71	0	TTTY15	human	2.40E-13	1.221181138	0.337	0	TMEM97	chimp	0	0.492868996	0.295	0.544	ABCF1	chimp	1.39E-13	0.429133991	0.578	0.673	UBE3B	chimp	5.06E-08	0.744688885	0.15	0.525	RP11-677N16.1	chimp	0	0.330912934	0.024	0.355	ZIK1	chimp	0.000355047	0.738158069	0.036	0.277
HMGN2P5	human	0	0.849888777	0.511	0	CBWD3	human	0	0.786981542	0.533	0	PTPRD	human	2.97E-07	1.214695022	0.678	0.13	LINC01102	human	0	0.888303461	0.62	0.169	PCBP1-AS1	human	2.40E-13	1.081363439	0.337	0	PNRC1	chimp	0	0.490548725	0.348	0.65	ZFP91	chimp	1.84E-13	0.595203025	0.312	0.682	GABPB1-AS1	chimp	6.70E-08	0.395604654	0.55	0.792	SUMO2P1	chimp	0	0.324440265	0.546	0.598	ZEB2	chimp	0.000361334	0.37656286	0.774	0.8
HERC2P2	human	0	0.848006836	0.44	0.004	C4orf27	human	0	0.78046482	0.418	0	POLR2J3	human	3.70E-07	0.920520763	0.546	0	RP11-69L16.5	human	0	0.886589035	0.734	0.005	SLC29A4	human	2.45E-13	0.828288504	0.362	0.038	PLCXD1	chimp	0	0.488956308	0.16	0.404	HNRNPU-AS1	chimp	2.09E-13	0.508129614	0.081	0.412	CBFB	chimp	8.63E-08	0.779361442	0.175	0.575	AC011933.2	chimp	0	0.316640833	0.076	0.397	H2AFV	chimp	0.000423661	0.649514347	0.429	0.585
RP11-33B1.1	human	0	0.847498248	0.364	0.023	CBWD7	human	0	0.775338491	0.549	0	EIF4EBP2	human	3.72E-07	1.047005033	0.638	0.043	RP11-488L18.10	human	0	0.884344878	0.342	0.009	ANKRD10	human	3.43E-13	0.888780886	0.733	0.312	GFPT1	chimp	0	0.482566892	0.419	0.712	RP11-113K21.4	chimp	3.00E-13	0.628072814	0.035	0.327	KIAA1211	chimp	1.00E-07	0.647745904	0.15	0.55	RPL7P26	chimp	0	0.310726818	0.036	0.479	PSAP	chimp	0.000436937	0.630368867	0.321	0.477
MUM1	human	0	0.846740592	0.577	0.155	AASS	human	0	0.753162806	0.787	0.354	AMER2	human	4.31E-07	1.305775712	0.691	0.13	ANKRD10	human	0	0.87912286	0.876	0.282	VPS35	human	4.13E-13	1.016642186	0.491	0.125	BMPR2	chimp	0	0.481375105	0.509	0.799	MOB1A	chimp	3.18E-13	0.442203467	0.601	0.877	CADM2	chimp	1.32E-07	0.714425549	0.038	0.358	RP11-447H19.1	chimp	0	0.289146558	0.004	0.363	ROCK2	chimp	0.000532147	0.322954169	0.381	0.415
RPL34P18	human	0	0.843763033	0.728	0.023	GTF2IP1	human	0	0.750514298	0.656	0.037	EIF3F	human	4.89E-07	1.18506339	0.539	0	MPRIP-AS1	human	0	0.877346562	0.374	0.023	TUBA1C	human	4.54E-13	0.462023682	0.921	0.8	SUGP2	chimp	0	0.4774952	0.322	0.617	PLCXD1	chimp	5.62E-13	0.624836636	0.156	0.493	RP11-650L12.2	chimp	1.50E-07	0.752101979	0.05	0.308	RPL5P11	chimp	0	0.28584228	0.032	0.393	VDAC3	chimp	0.000533531	0.477012167	0.452	0.6
ANKRD10	human	0	0.841367311	0.842	0.35	RP11-543P15.1	human	0	0.742570479	0.769	0	AC004057.1	human	4.89E-07	0.698033734	0.539	0	LINC00969	human	0	0.876696215	0.466	0.038	HMGN2P5	human	8.99E-13	0.764892746	0.325	0	STXBP4	chimp	0	0.475700451	0.189	0.431	JMJD7-PLA2G4B	chimp	6.96E-13	0.389593998	0.012	0.265	RP11-15J10.1	chimp	1.75E-07	0.490207172	0.275	0.475	SNORD13	chimp	0	0.285196242	0	0.265	BNIP2	chimp	0.000567218	0.374132427	0.298	0.262
BAG4	human	0	0.834400594	0.386	0.086	FOXK1	human	0	0.736227085	0.413	0	CRLF3	human	6.24E-07	0.891141263	0.592	0.043	DCLRE1C	human	0	0.876337844	0.394	0.028	HERC2P2	human	1.20E-12	0.906775495	0.323	0	RP11-143M1.3	chimp	0	0.473363022	0.002	0.344	RP11-516A11.1	chimp	7.29E-13	0.285128365	0.202	0.464	SPAST	chimp	2.33E-07	0.676654907	0.25	0.583	LINC00301	chimp	0	0.275209604	0	0.252	GNAQ	chimp	0.000622951	0.456944657	0.643	0.769
ETNK1	human	0	0.830399102	0.789	0.32	RNF216P1	human	0	0.728642307	0.507	0.024	FNBP4	human	6.39E-07	1.142824641	0.526	0.043	TTTY15	human	0	0.874101719	0.333	0	RP3-417G15.1	human	1.39E-12	0.48527068	0.321	0	USF1	chimp	0	0.465131939	0.062	0.254	RP4-775C13.1	chimp	1.31E-12	0.302493057	0.052	0.322	SPNS2	chimp	2.56E-07	0.369171312	0.012	0.3	RN7SL629P	chimp	0	0.261373768	0.02	0.308	H1F0	chimp	0.000782163	0.603831689	0.238	0.492
BROX	human	0	0.826136929	0.519	0.169	TSPYL1	human	0	0.712251724	0.848	0.341	VAPA	human	6.43E-07	1.252545918	0.533	0	MIDN	human	0	0.863513533	0.622	0.075	RPL5P4	human	1.39E-12	0.484732612	0.321	0	CNTNAP2	chimp	0	0.463883754	0.496	0.734	U2AF1	chimp	1.71E-12	0.559209969	0.266	0.555	SREK1	chimp	3.42E-07	0.291990951	0.7	0.842	RP11-517C16.2	chimp	2.22E-16	0.563994712	0.016	0.265	LARP1	chimp	0.000924698	0.472528359	0.524	0.815
AC016708.2	human	0	0.821377015	0.467	0	PTPRS	human	0	0.706081042	0.986	0.659	HMGN2P5	human	6.43E-07	0.856792191	0.533	0	RP4-635E18.8	human	0	0.862103196	0.336	0.014	6-Mar	human	1.79E-12	0.329813495	0.925	0.75	MAT2A	chimp	0	0.463503083	0.297	0.638	PHF10	chimp	2.34E-12	0.571447251	0.376	0.697	ARPP19	chimp	3.78E-07	0.517097207	0.55	0.842	LAMP2	chimp	2.22E-16	0.528848166	0.263	0.637	EIF3CL	chimp	0.000973683	0.663899556	0.214	0.431
SLC29A4	human	0	0.820383079	0.397	0.028	STRN3	human	0	0.701853499	0.837	0.378	CEP95	human	6.70E-07	0.831740207	0.697	0.13	RPL14P1	human	0	0.860777232	0.69	0	CRLF3	human	1.91E-12	0.974283216	0.414	0.038	AC092338.5	chimp	0	0.463098639	0.033	0.254	TMEM97	chimp	2.85E-12	0.595830533	0.318	0.654	TERF2	chimp	4.49E-07	0.46768418	0.225	0.575	RAB11A	chimp	2.22E-16	0.445060079	0.582	0.838	UGDH	chimp	0.001004071	0.69379763	0.155	0.354
ZNF738	human	0	0.820299324	0.503	0.077	NASP	human	0	0.700852819	0.893	0.5	CDKAL1	human	6.82E-07	0.845118086	0.513	0.087	ZNF124	human	0	0.860449515	0.329	0	RANBP2	human	2.14E-12	0.955487793	0.449	0.062	RPS9	chimp	0	0.46018407	0.307	0.477	CNTNAP2	chimp	3.15E-12	0.686910392	0.405	0.725	PAX6	chimp	5.19E-07	0.499741205	0.425	0.808	JMJD7-PLA2G4B	chimp	2.22E-16	0.327503262	0.02	0.252	PDCD4	chimp	0.001026263	0.322822511	0.393	0.369
PAN3	human	0	0.806485261	0.637	0.216	AC016708.2	human	0	0.698934513	0.451	0	NBPF14	human	8.43E-07	0.809520446	0.526	0	ST6GAL2	human	0	0.856903404	0.58	0.164	RPL35AP21	human	5.05E-12	0.418681952	0.309	0	SVIL	chimp	0	0.459406439	0.3	0.628	STXBP4	chimp	4.84E-12	0.558900819	0.289	0.616	APPBP2	chimp	5.53E-07	0.540477419	0.288	0.683	EPB41L1	chimp	3.33E-16	0.630677054	0.331	0.607	RIT1	chimp	0.001063457	0.740771261	0.202	0.477
DCLRE1C	human	0	0.805847369	0.403	0.069	TPI1P1	human	0	0.696315169	0.795	0.305	SEPW1	human	1.10E-06	1.084161924	0.52	0	H3F3C	human	0	0.852188971	0.735	0	WI2-1896O14.1	human	5.59E-12	1.011308673	0.38	0.025	RPS13P2	chimp	0	0.458735796	0.571	0.841	AL133243.2	chimp	5.15E-12	0.60616899	0.156	0.474	U2AF1	chimp	6.29E-07	0.654069662	0.162	0.5	PSPHP1	chimp	3.33E-16	0.59299902	0.08	0.402	CTC-444N24.11	chimp	0.001088302	0.711310767	0.19	0.477
LINC01102	human	0	0.805382218	0.437	0.105	GOLGA8B	human	0	0.679472025	0.409	0	SRGAP2B	human	1.10E-06	0.86289851	0.52	0	FAM117B	human	0	0.849520578	0.71	0.225	TSPYL1	human	1.01E-11	0.637174508	0.673	0.375	RP11-312J18.5	chimp	0	0.458712364	0.209	0.402	RPS9	chimp	6.88E-12	0.436271613	0.451	0.592	RP11-196G18.22	chimp	7.27E-07	0.656714763	0.15	0.517	GFPT1	chimp	4.44E-16	0.555008612	0.466	0.769	NRIP3	chimp	0.001381444	0.473298749	0.071	0.262
KIF5A	human	0	0.802020819	0.79	0.25	NPIPA1	human	0	0.672764484	0.458	0	CASP2	human	1.35E-06	0.510282114	0.75	0.304	ETNK1	human	0	0.848243289	0.859	0.31	SEPT7P6	human	1.02E-11	0.576052938	0.302	0	MTMR11	chimp	0	0.457068801	0.055	0.339	RAP1B	chimp	6.89E-12	0.489788316	0.486	0.806	SLC35D1	chimp	7.35E-07	0.712223992	0.112	0.458	H2AFV	chimp	5.55E-16	0.665426777	0.339	0.632	SEC11C	chimp	0.001382935	0.539866636	0.226	0.354
C3orf70	human	0	0.800442075	0.394	0.091	NBPF25P	human	0	0.658655089	0.6	0	ATCAY	human	1.36E-06	1.006414366	0.618	0.087	TSPYL1	human	0	0.842837627	0.885	0.315	YWHAEP1	human	1.36E-11	0.475184802	0.3	0	FAM208A	chimp	0	0.455166486	0.451	0.706	USO1	chimp	8.07E-12	0.522521433	0.318	0.659	ALG2	chimp	7.96E-07	0.748809708	0.1	0.433	MOB1A	chimp	1.33E-15	0.698975298	0.235	0.594	LRBA	chimp	0.00138725	0.704382697	0.083	0.338
AC253572.1	human	0	0.792823644	0.495	0.002	RBBP4P1	human	0	0.658015848	0.488	0	RPL7L1	human	1.41E-06	1.216615359	0.566	0.043	HNRNPCP2	human	0	0.83942622	0.596	0	SACS	human	1.75E-11	0.897359367	0.573	0.212	U2AF1	chimp	0	0.454961757	0.202	0.434	AGO1	chimp	1.76E-11	0.560679804	0.393	0.739	PREP	chimp	8.50E-07	0.481288848	0.075	0.408	CTC-444N24.11	chimp	1.19E-14	0.470821037	0.522	0.812	NELL2	chimp	0.001437514	0.69089749	0.095	0.323
