Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Macaque_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells	Gene	Up_In_Species	p_val	log2FC	Percent_of_Human_Cells	Percent_of_Chimpanzee_Cells
RPL4P4	human	0	1.006756223	0.699	0	GAN	human	0	1.017427494	0.472	0.012	RANBP2	human	2.67E-10	1.364048548	0.691	0	USP31	human	0	1.027853833	0.425	0.028	RPL24P4	human	0	1.112996776	0.585	0	ZFP91	chimp	0	0.620395023	0.273	0.631	PFAS	chimp	0	0.58657992	0.254	0.697	CDV3	chimp	1.44E-10	0.563079028	0.55	0.9	RP11-395L14.3	chimp	0	0.651771267	0.012	0.551	TRAK2	chimp	3.95E-07	1.042270539	0.06	0.415
TBC1D24	human	0	0.996301155	0.364	0.014	EIF2S3	human	0	1.010448682	0.881	0.268	SKP1P1	human	2.67E-10	0.926096977	0.691	0	ZNF562	human	0	1.026793732	0.53	0.033	RPL4P4	human	0	1.099927018	0.543	0	LDHA	chimp	0	0.607909828	0.453	0.859	MTMR11	chimp	0	0.573081615	0.11	0.536	SIX3	chimp	3.25E-10	0.737087956	0.025	0.4	SLC35D1	chimp	0	0.647769826	0.175	0.538	RN7SL629P	chimp	5.40E-07	0.358996296	0.071	0.415
NUP50	human	0	0.993266419	0.485	0.058	CBWD2	human	0	0.993896828	0.598	0	MIDN	human	3.94E-10	0.835697071	0.671	0.087	RPL4P4	human	0	1.0168602	0.76	0	RPL34P18	human	0	1.096560846	0.718	0.025	PCDHGC3	chimp	0	0.592071929	0.053	0.42	PLA2G4B	chimp	0	0.55599627	0	0.336	SLC38A2	chimp	3.47E-10	0.380934999	0.838	0.975	ZNF8	chimp	0	0.646471726	0.187	0.585	SP4	chimp	6.08E-07	0.979794646	0.167	0.554
EIF3F	human	0	0.974486738	0.473	0.018	C6orf62	human	0	0.981767661	0.921	0.439	C6orf62	human	4.99E-10	0.914809557	0.934	0.304	SMG1P1	human	0	1.008614239	0.573	0	RBM6	human	0	1.080031362	0.796	0.3	H2AFV	chimp	0	0.590173269	0.451	0.718	AC008440.5	chimp	0	0.547588421	0	0.37	FAM204A	chimp	5.60E-10	0.439275695	0.475	0.8	RP11-34P13.13	chimp	0	0.643884889	0.092	0.423	AC159540.3	chimp	8.18E-07	0.569213582	0	0.262
HNRNPA1L2	human	0	0.969026265	0.736	0.007	RAD52	human	0	0.978377466	0.523	0.024	TMEM158	human	6.17E-10	1.148285423	0.776	0.087	C6orf62	human	0	1.002190115	0.871	0.277	RP11-69L16.5	human	0	1.027851195	0.597	0.012	PLA2G4B	chimp	0	0.582392639	0	0.338	RNU2-2P	chimp	0	0.542727747	0	0.37	RP11-89K21.1	chimp	5.63E-10	0.738356371	0	0.325	USMG5P1	chimp	0	0.642988481	0.004	0.577	VSIG10L	chimp	8.18E-07	0.262081719	0	0.262
H3F3C	human	0	0.961288547	0.766	0	HIGD1A	human	0	0.975390671	0.51	0.061	LRRC75A-AS1	human	8.02E-10	1.222483696	0.796	0.087	PIAS2	human	0	0.99888583	0.438	0	POLR2J3	human	0	1.023462171	0.507	0.025	MAPRE1P1	chimp	0	0.580623444	0.002	0.347	BRD2	chimp	0	0.523172855	0.723	0.848	UPK3BL	chimp	5.63E-10	0.44984848	0	0.325	CTC-338M12.4	chimp	0	0.641555538	0.012	0.346	RPL5P11	chimp	8.63E-07	0.573043394	0.036	0.354
SMG1P1	human	0	0.952962107	0.513	0.009	NBPF15	human	0	0.973857315	0.703	0	NEDD4L	human	1.49E-09	0.294341879	0.875	0.739	ZNF43	human	0	0.998050292	0.408	0	SKP1P1	human	0	0.995975213	0.527	0	RP11-395L14.3	chimp	0	0.57846849	0.01	0.517	MAPRE1P1	chimp	0	0.513266847	0	0.384	HIST1H2BE	chimp	6.23E-10	0.727655619	0.012	0.383	RP11-463C14.1	chimp	0	0.629732282	0.012	0.624	APPBP2	chimp	8.71E-07	0.81305209	0.179	0.6
ZNF562	human	0	0.951110566	0.454	0.047	EIF3F	human	0	0.969512932	0.537	0.012	ZNF738	human	1.54E-09	0.705646268	0.513	0.087	FLRT2	human	0	0.986743104	0.49	0.042	NBPF11	human	0	0.993997745	0.43	0	CDV3	chimp	0	0.572325005	0.499	0.835	UPK3BL	chimp	0	0.504022516	0	0.408	RP11-677N16.1	chimp	7.21E-10	0.364063964	0.05	0.317	RP11-298E9.7	chimp	0	0.62714747	0	0.274	PTMS	chimp	2.33E-06	0.626225679	0.298	0.354
RPL24P4	human	0	0.949609464	0.691	0.002	NBPF9	human	0	0.965580588	0.72	0	PCDH9	human	1.73E-09	1.544762187	0.658	0	RP11-33B1.1	human	0	0.985814791	0.441	0.023	KIF5A	human	0	0.992989085	0.794	0.25	RP11-298E9.7	chimp	0	0.571744845	0.002	0.272	ANKRD36P1	chimp	0	0.494744559	0	0.341	AC079780.3	chimp	7.22E-10	0.356213877	0.112	0.425	HIST1H2BE	chimp	0	0.620807522	0.02	0.299	PNRC2	chimp	3.05E-06	0.389912825	0.107	0.292
POLR2J3	human	0	0.948864678	0.576	0.004	RPL4P4	human	0	0.954873142	0.773	0	ENAH	human	4.67E-09	0.339793888	0.928	0.522	ELMSAN1	human	0	0.984137975	0.478	0.08	RPL14P1	human	0	0.982128671	0.526	0	CTC-444N24.11	chimp	0	0.571479945	0.42	0.758	RPL5P11	chimp	0	0.460469022	0.046	0.583	RORB	chimp	7.28E-10	0.900589808	0.075	0.45	PFAS	chimp	0	0.619096487	0.143	0.564	DSTNP1	chimp	4.37E-06	0.538451192	0.036	0.292
